GC_RPG,CULTURE,Surface_ha,cell,rupromax,rupromin,rupro,hcc,pro
1,Ble,0.0932469002466965,8605,86.22,76.6,81.69,34.14,43
2,Mais,0.874671830398869,8517,76.6,76.6,76.6,34.24,40
2,Mais,7.36025645123121,8429,216.6,111.16,140.45,34.06,74
2,Mais,3.25338582686181,8427,216.6,76.6,112.4,33.91,60
2,Mais,0.963301016681839,8426,76.6,76.6,76.6,34.24,40
2,Mais,4.0325459612564,8427,216.6,76.6,112.4,33.91,60
2,Mais,6.72840375909249,8426,76.6,76.6,76.6,34.24,40
2,Mais,1.52297273146184,8427,216.6,76.6,112.4,33.91,60
2,Mais,2.00443005257153,8516,76.6,76.6,76.6,34.24,40
2,Mais,2.61972991657937,8427,216.6,76.6,112.4,33.91,60
2,Mais,0.466792088202015,8426,76.6,76.6,76.6,34.24,40
2,Mais,7.92070083223393,8427,216.6,76.6,112.4,33.91,60
2,Mais,2.62713248702973,8518,216.6,76.6,146.35,34.25,76
2,Mais,3.02010023475625,8517,76.6,76.6,76.6,34.24,40
2,Mais,1.41333364327355,8427,216.6,76.6,112.4,33.91,60
